ubigeo,tipo_municipalidad,clasificacion_mef
90614,DISTRITAL,F
90615,DISTRITAL,G
90616,DISTRITAL,F
90701,PROVINCIAL,B
90702,DISTRITAL,G
90703,DISTRITAL,G
90704,DISTRITAL,G
90705,DISTRITAL,G
90706,DISTRITAL,F
90707,DISTRITAL,G
90709,DISTRITAL,G
90710,DISTRITAL,E
90711,DISTRITAL,F
90713,DISTRITAL,E
90714,DISTRITAL,G
90715,DISTRITAL,G
90716,DISTRITAL,G
90717,DISTRITAL,G
90718,DISTRITAL,G
90719,DISTRITAL,G
90720,DISTRITAL,G
90721,DISTRITAL,F
90722,DISTRITAL,F
90723,DISTRITAL,F
90724,DISTRITAL,G
90725,DISTRITAL,G
100101,PROVINCIAL,A
100102,DISTRITAL,D
100103,DISTRITAL,G
100104,DISTRITAL,G
100105,DISTRITAL,F
100106,DISTRITAL,G
100107,DISTRITAL,G
100108,DISTRITAL,G
100109,DISTRITAL,G
100110,DISTRITAL,G
100111,DISTRITAL,D
100112,DISTRITAL,F
100113,DISTRITAL,G
100201,PROVINCIAL,B
100202,DISTRITAL,F
100203,DISTRITAL,G
100204,DISTRITAL,G
100205,DISTRITAL,G
100206,DISTRITAL,F
100207,DISTRITAL,G
100208,DISTRITAL,F
100301,PROVINCIAL,B
100307,DISTRITAL,F
100311,DISTRITAL,F
100313,DISTRITAL,F
100316,DISTRITAL,F
100317,DISTRITAL,F
100321,DISTRITAL,G
100322,DISTRITAL,G
100323,DISTRITAL,F
100401,PROVINCIAL,B
100402,DISTRITAL,G
100403,DISTRITAL,G
100404,DISTRITAL,G
100501,PROVINCIAL,B
100502,DISTRITAL,G
100503,DISTRITAL,F
100504,DISTRITAL,G
100505,DISTRITAL,G
100506,DISTRITAL,F
100507,DISTRITAL,F
100508,DISTRITAL,E
100509,DISTRITAL,G
100510,DISTRITAL,G
100511,DISTRITAL,G
100601,PROVINCIAL,A
100602,DISTRITAL,G
100603,DISTRITAL,G
100604,DISTRITAL,E
100605,DISTRITAL,F
100606,DISTRITAL,D
100607,DISTRITAL,G
100608,DISTRITAL,D
100609,DISTRITAL,G
100610,DISTRITAL,G
100701,PROVINCIAL,B
100702,DISTRITAL,F
100703,DISTRITAL,G
100704,DISTRITAL,F
100705,DISTRITAL,F
100801,PROVINCIAL,B
100802,DISTRITAL,F
100803,DISTRITAL,F
100804,DISTRITAL,G
100901,PROVINCIAL,B
100902,DISTRITAL,G
100903,DISTRITAL,G
100904,DISTRITAL,G
100905,DISTRITAL,G
101001,PROVINCIAL,B
101002,DISTRITAL,F
101003,DISTRITAL,G
101004,DISTRITAL,E
101005,DISTRITAL,G
101006,DISTRITAL,F
101007,DISTRITAL,G
101101,PROVINCIAL,B
